"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","008","ALB","Albania","132","CPV","Cabo Verde","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0033850514681"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","008","ALB","Albania","893","MNE","Montenegro","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.917505105222"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","064","BTN","Bhutan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.09714495"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","266","GAB","Gabon","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.25048408"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","292","GIB","Gibraltar","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.25869698"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","430","LBR","Liberia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","7.29546387324232"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","678","STP","Sao Tomé and Principe","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.103065538772463"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","212","DMA","Dominica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.062"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","308","GRD","Grenada","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.433"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","659","KNA","Saint Kitts and Nevis","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.518"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","662","LCA","Saint Lucia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.974"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","670","VCT","Saint Vincent and the Grenadines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.591"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","031","AZE","Azerbaijan","268","GEO","Georgia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","35.3234524"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","032","ARG","Argentina","600","PRY","Paraguay","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1890.18127378"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","048","BHR","Bahrain, Kingdom of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","10.4938257134267"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","084","BLZ","Belize","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.6103857590899"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","090","SLB","Solomon Islands","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.2081290232883"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","212","DMA","Dominica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.1075938477581"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","262","DJI","Djibouti","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.320217455683"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","520","NRU","Nauru","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0263725018672"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","598","PNG","Papua New Guinea","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","27.280209913104"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","690","SYC","Seychelles","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.0381275334979"
